"Gross national income and gross domestic income, indexes and related statistics, annual",,,,,,,,,,
Frequency: Annual,,,,,,,,,,
Table: 36-10-0129-01 (formerly CANSIM 380-0101),,,,,,,,,,
Release date: 2023-05-31,,,,,,,,,,
Geography: Canada,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Geography,Canada,,,,,,,,,
Estimates,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
,2012=100,,,,,,,,,
"Real gross domestic product, volume index 2012=100",102.3,105.3,106.0,107.0,110.3,113.3,115.5,109.6,115.1,119.1
,Percent,,,,,,,,,
"Real gross domestic product, volume index 2012=100, percent change",2.3,2.9,0.7,1.0,3.0,2.8,1.9,-5.1,5.0,3.4
,2012=100,,,,,,,,,
"Real gross domestic income, volume index 2012=100",102.5,105.0,103.2,103.9,108.3,111.3,113.1,106.2,116.2,122.1
,Percent,,,,,,,,,
"Real gross domestic income, volume index 2012=100, percent change",2.5,2.4,-1.7,0.6,4.2,2.8,1.6,-6.1,9.4,5.1
"Real gross domestic product, contribution to real gross domestic income percent change",2.329,2.870,0.659,1.001,3.040,2.777,1.888,-5.074,5.012,3.438
"Real exchange rate, contribution to real gross domestic income percent change",0.005,-0.018,0.018,0.031,-0.018,-0.033,0.010,0.073,-0.057,0.005
"Terms of trade, contribution to real gross domestic income percent change",0.198,-0.472,-2.370,-0.388,1.217,0.100,-0.304,-1.086,4.414,1.673
,2012=100,,,,,,,,,
"Real gross national income, volume index 2012=100",102.8,105.1,103.5,104.4,108.8,111.4,113.8,107.3,117.6,123.1
,Percent,,,,,,,,,
"Real gross national income, volume index 2012=100, percent change",2.8,2.3,-1.6,1.0,4.2,2.4,2.1,-5.7,9.6,4.7
"Real gross domestic income, contribution to real gross national income percent change",2.575,2.418,-1.720,0.653,4.293,2.887,1.617,-6.147,9.433,5.157
"Investment income received from non-residents, contribution to real gross national income percent change",0.199,0.234,0.373,0.226,0.349,0.294,0.701,-0.286,-0.206,0.477
"Less: investment income paid to non-residents, contribution to real gross national income percent change",-0.023,0.361,0.270,-0.093,0.405,0.729,0.136,-0.689,-0.358,0.957
"Compensation of employees, Canadians working abroad, contribution to real gross national income percent change",0.006,0.004,0.006,0.003,-0.004,0.000,0.001,-0.030,-0.004,0.001
"Less: compensation of employees, non-residents working in Canada, contribution to real gross national income percent change",0.008,0.013,-0.002,0.014,0.047,0.054,0.066,-0.080,-0.006,0.006
,2012=100,,,,,,,,,
"Gross final domestic expenditure, implicit price index 2012=100",101.5,104.0,105.6,106.7,108.2,109.9,111.9,113.8,118.2,124.7
"Real exchange rate, index 2012=100",99.7,101.1,100.1,98.8,99.5,101.1,100.6,96.7,101.7,110.8
"Terms of trade, index 2012=100",100.6,99.2,92.3,91.3,94.6,94.9,94.1,91.0,103.9,109.4
"Real personal disposable income, volume index 2012=100",103.2,104.6,108.1,107.5,111.7,113.3,116.5,125.3,126.8,126.3
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"How to cite: Statistics Canada. Table 36-10-0129-01  Gross national income and gross domestic income, indexes and related statistics, annual",,,,,,,,,,
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610012901,,,,,,,,,,
